"کد (ID)","نام ماده اولیه","دسته‌بندی","واحد پیش‌فرض","نسبت‌های تبدیل واحد (مفصل)"
"130","ماهی راشکو","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"131","ماهی کفال","ماهی و مأکولات دریایی","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"132","فیله ماهی کاد","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"133","ماهی اوزون‌برون","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"134","میگو ریز چیپسی","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"135","میگو متوسط پاک‌شده","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"136","شاه‌میگو (جامبو)","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"137","صدف خوراکی","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"138","خرچنگ دریایی","ماهی و مأکولات دریایی","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"139","خاویار اصل ایرانی","ماهی و مأکولات دریایی","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"140","میگو سوخاری آماده","ماهی و مأکولات دریایی","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"141","لپه تبریز","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"142","عدس سبز ایرانی","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"143","دال عدس (عدس قرمز)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"144","عدس قهوه‌ای","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"145","لوبیا قرمز کپسولی","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"146","لوبیا قرمز جگری","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"147","لوبیا چیتی دستچین","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"148","لوبیا سفید","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"149","لوبیا چشم‌بلبلی","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"150","لوبیا سیاه","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"151","لوبیا عروس","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"152","نخود کرمانشاهی","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"153","نخود سه خان","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"154","نخود سیاه (دسی)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"155","ماش سبز","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"156","سویا خورشتی (دانه درشت)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"157","سویا ریز (مخصوص ماکارونی)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"158","گندم پوست‌کنده","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"159","گندم کامل با پوست","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"160","بلغور گندم","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"161","جو پوست‌کنده","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"162","جو پرک درشت","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"163","جو پرک فوری","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"164","بلغور جو","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"165","جو دوسر (اوتمیل)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"166","جو دوسر پرک","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"167","لپه باقلا (باقلا زرد)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"168","باقلا سبز خشک","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"169","باقلا کشاورزی (گیلان)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"170","كينوا سفید","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"171","کینوا سه رنگ","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"172","چیا سید (دانه چیا)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"173","ارزن خوراکی","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"174","ذرت خشک پاپ‌کورن","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"175","گندم برشته (شیرین)","حبوبات و غلات","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"176","برنج طارم هاشمی","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"177","برنج دم‌سیاه صدری","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"178","برنج عنبربو جیرفت","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"179","برنج کامفیروزی","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"180","برنج نیم‌دانه معطر","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"181","برنج قهوه‌ای","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"182","برنج هندی دانه‌بلند","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"183","برنج باسماتی پاکستان","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"184","برنج دودی شمال","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"185","رشته پلویی سنتی","برنج، نان و آرد","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"186","رشته آش ممتازم","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"187","ماکارونی اسپاگتی ۱٫۲","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"188","ماکارونی فرمی پنه","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"189","ماکارونی فرمی جامبو","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"190","رشته فرنگی سوپی (ورمیشل)","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"191","لازانیا شیاردار","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"192","آرد گندم نانوایی (سبوس‌دار)","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"193","آرد گندم سفید (قنادی)","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"194","آرد برنج شمال","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"195","آرد نخودچی دو بار تفت","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"196","آرد ذرت زرد","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"197","آرد جو خالص","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"198","آرد سنگک","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"199","آرد سوخاری نارنجی","برنج، نان و آرد","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"200","آرد سوخاری اسپایسی (تند)","برنج، نان و آرد","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"201","آرد سمولینا","برنج، نان و آرد","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"202","پودر خمیر ترش","برنج، نان و آرد","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"203","خمیر یوفکا مستطیل","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"204","خمیر یوفکا مثلثی (بورک)","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"205","خمیر پیتزا آماده","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"206","نان لواش سنتی","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"207","نان سنگک خشخاشی","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"208","نان بربری دغلی","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"209","نان تافتون","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"210","نان تست طلایی","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"211","نان تست جو","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"212","نان باگت فرانسوی","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"213","نان همبرگر کنجدی","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"214","نان جو خشک سنتی","برنج، نان و آرد","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
"215","نان پیتا مدیترانه‌ای","برنج، نان و آرد","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"216","ماست کم‌چرب ۱٫۵٪","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"217","ماست پرچرب هم‌زده","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"218","ماست چکیده سنتی","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"219","ماست موسیر کوهستان","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"220","ماست یونانی","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"221","ماست بادمجان (بورانی)","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ لیوان (پایه عمومی)"
"222","کشک مایع پاستوریزه","لبنیات و تخم‌مرغ","پیمانه","۱ پیمانه = 240 گرم | ۱ پیمانه = 240 میلی‌لیتر | ۱ پیمانه = 16 قاشق غذاخوری | ۱ پیمانه = 48 قاشق چای‌خوری"
"223","کشک خشک محلی","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"224","پنیر سفید ایرانی","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"225","پنیر لیقوان گوسفندی","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"226","پنیر تبریز ممتاز","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"227","پنیر خامی ویلی","لبنیات و تخم‌مرغ","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"228","پنیر پیتزا رنده‌شده (موتزارلا)","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"229","پنیر ورقه ای گودا","لبنیات و تخم‌مرغ","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"230","پنیر پارمزان پودری","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"231","پنیر چدار انگلیس","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"232","پنیر ماسکارپونه","لبنیات و تخم‌مرغ","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"233","پنیر فتا گوسفندی","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"234","پنیر ریکوتا","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"235","پنیر بلوچیز (آبی)","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"236","شیر کم‌چرب بطری","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"237","شیر پرچرب محلی","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"238","شیر کاکائو پاکتی","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"239","شیر سویا بدون شکر","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"240","شیر بادام ارگانیک","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"241","شیر نارگیل","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"242","خامه صبحانه پاکتی","لبنیات و تخم‌مرغ","بسته","۱ بسته = ۲۰۰ گرم | ۱ عدد بسته (پایه عمومی)"
"243","خامه قنادی فرم‌گرفته","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"244","سرشیر محلی","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"245","دوغ سنتی نعناعی","لبنیات و تخم‌مرغ","لیوان","۱ لیوان = ۲۴۰ گرم | ۲۴۰ میلی‌لیتر | ۱۶ قاشق غذاخوری | ۴۸ قاشق چای‌خوری | ۱ پیمانه (پایه عمومی)"
"246","دوغ گازدار آبعلی","لبنیات و تخم‌مرغ","شیشه","طبق فرمول عمومی واحد شیشه"
"247","کره حیوانی پاستوریزه","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"248","کره محلی گوسفندی","لبنیات و تخم‌مرغ","گرم","۱ گرم = ۰.۰۰۱ کیلوگرم | ۰.۰۰۴۱۶ پیمانه | ۰.۰۶۶۷ قاشق غذاخوری (پایه عمومی)"
"249","روغن حیوانی کرمانشاهی","لبنیات و تخم‌مرغ","قاشق غذاخوری","۱ قاشق غذاخوری = ۳ قاشق چای‌خوری | ۱۵ میلی‌لیتر | ۱۵ گرم | ۰.۰۶۲۵ پیمانه (پایه عمومی)"
"250","تخم مرغ رسمی","لبنیات و تخم‌مرغ","عدد","۱ عدد = ۰.۷۵ عدد بزرگ | ۱.۵ عدد کوچک | ۱۵۰ گرم | ۰.۱۵ کیلوگرم (پایه عمومی)"
